Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,614.512585238205,775.866025069011,812.682569676865,780.984680000687,791.037267357918,867.598783952445,832.551108683091,854.852616682278,825.259880112444,861.260656134321,888.875682052303,888.73515307827,872.307617765935,823.576439269368,843.041996136838,802.099232174491,808.759276978971,824.533869885983,867.798408837998,869.609755585277,860.041423126449,908.297287311204,953.058221663239,952.268240026896,977.954202931427,1031.91902073562,1078.18350678737,1073.20575248274,1153.66403838672,1114.21715229353,1140.64290113225,1229.54703039402,1247.49495511749,1327.53550999587,..,..,..,..,..
Algeria,DZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,8746.34076179084,8431.37782127163,8383.75834761922,8027.36590055164,7792.0744463471,7935.16892442121,8116.94962685821,8074.74941478636,8360.14081673692,8506.33486339744,8710.44407444303,8855.00892712083,9232.41578434729,9771.67243208067,10058.4262267694,10504.8451113075,10527.4086933355,10717.7708365909,10796.8888362076,10782.3473835509,10970.6924200476,11078.2282434362,11233.5170375426,11319.0826672209,11512.6904717467,11696.9503570434,11826.1513798141,11737.4012353821,11630.6794086908,11521.9842097767
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,2.44342997628157,2.51624327265714,2.47296077856087,2.61330374242682,2.60900906674069,2.65806257421468,2.60093352738967,2.50243923103872,2.47244785585944,2.53107051514779,2.57874448356462,2.50067460983515,2.58671219549639,2.73337366213098,2.73735406364241,2.84135137314603,2.96691468119827,3.00728984619534,3.10245108320028,3.17457329395465,3.1736545289208,3.29474258253391,3.60930765075577,3.64497934452673,3.79563225080737,3.93349591226698,3.82009033725814,3.82563798779582,3.92010908498775,3.9776504588966
"Egypt, Arab Rep.",EGY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,396.165838586942,423.006482643177,457.428460244763,494.103887825219,520.830827009209,520.798397545095,540.086709231413,538.466584629299,559.604027693312,574.529240300409,561.936660820619,564.409618848899,573.402335472076,540.664871191482,563.5458964827,586.219124062728,598.396135601299,628.518266069019,630.035157360912,589.667783358858,649.741616362327,657.750983548391,670.250056772227,711.346722101188,813.999220587754,844.987536044526,889.389466148203,907.595251956208,911.488695681454,876.542080493619,900.660387964398,905.586605947728,848.62902916014,827.497038750532,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,6086.68675379509,6016.9069690654,6152.92900367738,6203.06819620047,6321.25070751336,6483.31562051125,6671.08939267294,6897.52124163154,7138.21220132707,7422.83529863806,7744.71523809311,7867.50743983462,7905.41251956336,8007.6450292324,8184.06580830494,8397.03244402289,8814.14605018027,9274.97705396552,9763.50444936789,10031.0329555174,10340.0732290684,10302.4428451733,10301.1078078999,10290.191622314,10353.6668042394,10570.4452319757,10795.8087418385,11014.4864791744,11366.3355206681,11763.2532849551
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,1.56321040341731,1.55630295557203,1.54942797982614,1.54741123744536,1.43872400795315,1.50351272840154,1.55562045955047,1.63440116418182,1.67642848648069,1.72611982319758,1.66507919237804,1.80606118695824,1.81072844330076,1.82654296494492,1.94817259590412,2.14793856186978,2.22117663954381,2.34430544026242,2.38509981978402,2.436192983285,2.4203357498903,2.43430530660281,2.48778555149693,2.41910347218325,2.42323250904485,2.44779055994331,2.44824951456185,2.51164963246569,2.51880645114074,2.48405991083232
Jordan,JOR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,769.152531370823,841.196399488985,876.469119525884,924.89523091935,902.538400133791,931.186146359194,950.713647103902,906.109590757341,874.286514442686,918.133435486476,899.87881908037,955.752957701085,896.299445039329,915.437231045015,937.385946171169,932.503853916289,929.917814367058,943.037737852639,923.699966254312,949.865446427961,923.306719454863,951.545966780717,952.020928827119,1114.30474060171,1157.95786035165,1143.87870111008,1152.45927846671,1078.16702669255,1081.923670926,978.203386856867,922.098778288727,970.318158439043,907.079499546425,917.118987238449,..,..,..,..,..
Jordan,JOR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,7924.17762303763,7634.96911578598,8253.8956112684,8164.6795122453,8164.83048729911,8333.85434722248,8248.91789944737,8318.49707084427,8403.64642314783,8536.9197950839,8741.7274099193,9035.1446445502,9377.64537255967,9558.45847478885,10105.4605228243,10577.2913861175,11002.2222729937,11399.9655461346,11662.8961452808,11650.3643637747,11315.5027028063,11016.3952431394,10688.2893436103,10414.9212846708,10284.6700959691,10145.8366996846,10036.5436154339,10003.5749827297,10013.3976633388,10071.379888314
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,2.78472010337958,2.6007228307565,2.99924553764807,2.90368408488373,2.94533979902307,2.96371067036084,2.9305821780036,2.963781232108,2.95713469424906,2.90753482781551,3.17618660437931,3.11462112406964,3.172535293604,3.1854775098918,3.329605284737,3.44627904023013,3.36640938914339,3.37154634758547,3.05194579904192,2.9971313778495,2.78177879363891,2.70917198633745,2.98147233049563,2.79375766957646,2.86472801419969,2.73132251436884,2.59778697171345,2.67222840538271,2.48662318052999,2.43820411172168
Lebanon,LBN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,908.731029075677,685.385864501939,738.046476221858,748.19374569759,878.121427213958,971.108354288236,998.522090123642,737.318609801831,719.301520885492,697.064821236433,827.714002122052,796.643383104697,1081.40064673955,1130.10264271268,1249.66847382325,1287.75656991528,1435.23729473749,1396.89385230434,1440.35853930959,1276.95617801099,1318.10155803096,1249.80530605267,1192.35147929372,1157.04898063784,1073.10437794133,1007.24175168496,886.260429542888,1139.76592661307,1381.33099634201,1287.77379012264,1219.99253367248,1294.97419469014,1195.90053536131,1196.86630636478,..,..,..,..,..
